datetime,Deleveraged_Cian_Assets,Net_Vault_Deposits
2024-12-11,30697827.97371093,72425372.51805907
2024-12-12,29949637.516465828,67850811.10699391
2024-12-13,30346626.671663124,68750188.80951227
2024-12-14,30570222.811842743,69256745.17311566
2024-12-15,30253883.90372971,68540080.35577455
2024-12-16,65319892.49919528,70268840.70049576
2024-12-17,65833748.40902693,70828352.00330135
2024-12-18,63963182.45330499,68815871.97354357
2024-12-19,59822354.62615398,64360892.30104625
2024-12-20,56630515.352130815,60215735.00133786
2024-12-21,57190830.39015039,60812190.72464356
2024-12-22,55029900.920554146,58514429.804735295
2024-12-23,54020439.34497402,57432574.73373657
2024-12-24,56308503.381835826,59871990.83720267
2024-12-25,57675778.586047806,61413233.02764011
2024-12-26,57626014.142329976,61361175.20104183
2024-12-27,54836768.754989885,58433668.03885926
2024-12-28,54850303.798077114,58464733.93961022
2024-12-29,55990989.95630601,59680587.054935835
2024-12-30,57746457.4510852,58069845.5026636
2024-12-31,54434955.09009021,58107607.053701095
2025-01-01,54063959.15108076,57711580.52613618
2025-01-02,54264064.64025335,57925186.85895828
2025-01-03,55870989.99568536,59640529.270163305
2025-01-04,58401138.61147429,62341383.552313596
2025-01-05,59320988.00608819,63311482.73368641
2025-01-06,58923561.49040289,62903682.872270666
2025-01-07,59754775.289740756,63744422.4119844
2025-01-08,54777454.78962752,58434990.02921439
2025-01-09,53904188.281498745,57486013.50409513
2025-01-10,52189006.514573224,55652805.48763013
2025-01-11,53000971.251686126,56518824.010460295
2025-01-12,53234529.728233755,56777892.73867375
2025-01-13,52269163.56134912,56182734.71621675
2025-01-14,50200003.35203803,53953393.59494692
2025-01-15,51645339.212265894,55507117.85462734
2025-01-16,55204417.91028417,59332326.55221829
2025-01-17,53000948.46864596,56964092.751228295
2025-01-18,55677717.83969915,59853010.983955696
2025-01-19,52984771.138699986,56958119.19011164
2025-01-20,51368167.40972876,55220285.73534621
2025-01-21,52252320.39827921,56165829.63927204
2025-01-22,53260492.68962025,57249510.37786676
2025-01-23,51842696.75145684,55722581.86288522
2025-01-24,53368547.372164994,57348863.90816627
2025-01-25,53036558.87756681,56992115.15008186
2025-01-26,53169179.12191147,57135058.053660445
2025-01-27,51762259.24869545,55623196.29539006
2025-01-28,50821551.67166641,54612321.51957614
2025-01-29,49267522.29899871,52942377.39234263
2025-01-30,49860371.97223034,53595310.88837726
2025-01-31,52002652.649156086,55898065.447728425
2025-02-01,52773365.47130603,56726510.797710784
2025-02-02,50030116.76933757,53778981.875013046
2025-02-03,45830183.49756823,49264338.498502314
2025-02-04,46072185.46381014,49524474.19669077
2025-02-05,42954076.65263667,42968741.62570459
