datetime,Compound,Aave,Morpho,Sky
2024-07-27,-642391.9793269999,417644.6991999997,13660.189131000001,892339.157259
2024-07-28,-1480733.897888,577549.0775899997,13660.189131000001,892339.157259
2024-07-29,-1480733.897888,424604.21058399964,13660.189131000001,892339.157259
2024-07-30,-1480733.897888,1678852.7767549995,13660.189131000001,892339.157259
2024-07-31,-1480733.897888,2138322.4542749994,13660.189131000001,432564.151555
2024-08-01,-1480733.897888,1700757.8394839994,13660.189131000001,870128.766346
2024-08-02,-1480733.897888,1640877.5884539995,13660.189131000001,870128.766346
2024-08-03,-1480733.897888,1614719.1277919994,13660.189131000001,870128.766346
2024-08-04,-1480733.897888,1612188.6804359993,13660.189131000001,870128.766346
2024-08-05,-1480733.897888,1538775.2355169994,13660.189131000001,870128.766346
2024-08-06,-551453.8180069999,589423.5769179994,13660.189131000001,870128.766346
2024-08-07,-464775.3471799999,644853.7369449994,13660.189131000001,870128.766346
2024-08-08,-464775.3471799999,544500.4361909995,13660.189131000001,870128.766346
2024-08-09,-464775.3471799999,544500.4361909995,13660.189131000001,870128.766346
2024-08-10,-464775.3471799999,544500.4361909995,13660.189131000001,870128.766346
2024-08-11,-464775.3471799999,544500.4361909995,13660.189131000001,870128.766346
2024-08-12,-464775.3471799999,544500.4361909995,13660.189131000001,870128.766346
2024-08-13,-464775.3471799999,597585.8319389995,13660.189131000001,870128.766346
2024-08-14,700200.7777960001,137198.65952899947,13660.189131000001,-7341.915786999976
2024-08-15,700200.7777960001,137198.65952899947,13660.189131000001,-7341.915786999976
2024-08-16,700200.7777960001,137159.0861949995,13660.189131000001,-7341.915786999976
2024-08-17,700200.7777960001,134987.04033999948,13660.189131000001,-7341.915786999976
2024-08-18,700200.7777960001,134987.04033999948,13660.189131000001,-7341.915786999976
2024-08-19,700200.7777960001,130712.65332099948,13660.189131000001,-7341.915786999976
2024-08-20,757946.5742980001,130712.65332099948,13660.189131000001,-7341.915786999976
2024-08-21,-259666.71163699997,1251138.5715869996,13660.189131000001,-7341.915786999976
2024-08-22,-259666.71163699997,1249625.6377929996,13660.189131000001,-7341.915786999976
2024-08-23,-259666.71163699997,1249625.6377929996,13660.189131000001,-7341.915786999976
2024-08-24,-259666.71163699997,1249625.6377929996,13660.189131000001,-7341.915786999976
2024-08-25,-896063.820768,1910554.3019689997,13660.189131000001,-7341.915786999976
