datetime,USD,ETH
2024-09-24,11689699.439618077,4414.5504627706005
2024-09-25,11718183.627045916,4415.5504627706005
2024-09-26,11388033.234988024,4416.4204627706
2024-09-27,11619704.303519165,4416.5434627706
2024-09-28,11916888.230379842,4416.6184627706
2024-09-29,11837503.403792163,4416.6184627706
2024-09-30,11746487.980995871,4416.6184627706
2024-10-01,11471464.88463895,4416.6184627706
2024-10-02,10827921.046580384,4416.6184627706
2024-10-03,10446323.081055429,4416.6184627706
2024-10-04,10379328.292155374,4420.4884627706
2024-10-05,10804336.606845658,4470.2943144509945
2024-10-06,10798242.248753378,4470.574314450994
2024-10-07,10899398.375456778,4470.574314450994
2024-10-08,10833557.992949465,4471.594314450995
2024-10-09,11368778.619917851,4656.539344236149
2024-10-10,11046272.414531304,4665.569344236149
2024-10-11,11364955.675464962,4771.619344236149
2024-10-12,12025895.908260096,4937.318984453043
2024-10-13,12708224.94705014,5129.221071127725
2024-10-14,12653074.018971544,5129.221071127725
2024-10-15,14201832.169201672,5403.008759666353
2024-10-16,14059039.65686769,5403.008759666353
2024-10-17,12693927.810634898,4860.407794518338
2024-10-18,13172850.217398923,5060.407794518338
2024-10-19,13375449.860935114,5060.407794518338
2024-10-20,13417132.144568676,5063.108303270588
2024-10-21,13887899.203139357,5063.108303270588
2024-10-22,13493683.482874721,5061.905619838194
2024-10-23,13263608.203144876,5063.285934145538
2024-10-24,12780259.551972475,5063.285934145538
2024-10-25,12841678.147116061,5063.285934145538
2024-10-26,12568330.75780675,5189.036612957544
2024-10-27,14849307.224391099,5989.1366129575445
2024-10-28,15005799.43458249,5989.1366129575445
2024-10-29,20720559.02125916,8078.776935560232
2024-10-30,21322942.093251266,8081.043074343925
2024-10-31,25464044.758377682,9581.543074343925
2024-11-01,24166701.54628793,9609.978717931395
2024-11-02,36727109.26430662,14609.978717931395
2024-11-03,36398601.89122961,14609.978717931395
2024-11-04,35896420.94249596,14609.978717931395
2024-11-05,35104049.81657676,14651.428717931396
2024-11-06,40777750.683171265,16833.834745736687
2024-11-07,45253864.03129929,16633.647846986853
2024-11-08,48193429.889905825,16647.287779543814
2024-11-09,58678538.147020735,19817.40762698126
2024-11-10,62358000.099310264,19922.45762698126
