tx_hash,block_number,timestamp,event_type,sender,owner,assets,shares,vault_address,log_index,datetime
0x6b85abed05e48162b59980d07f63186e529b3508aeebd67081a86a6f70fb4a13,19808734,1714970567,deposit,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,294.0,292.297858,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,245,2024-05-06 04:42:47
0x800cd95de374d21fa7da3220005752f2dc17bb60ee8e7f0a7cc97f8611a728a7,19805739,1714934423,deposit,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,28749.81938,28585.320281,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,197,2024-05-05 18:40:23
0x9354ef7ce464e52530945ad47eaefac46b6207de5bd020f307c135ffee4895f6,19805911,1714936487,deposit,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,10000.0,9942.743625,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,191,2024-05-05 19:14:47
0x38a8a3f77ac489d095f52e0fe81097b743ffe076fb1febb7d656c8b9be194653,19819688,1715103011,deposit,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,550.0,546.701917,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,374,2024-05-07 17:30:11
0x3336817885df61201621c1510e64e43794d2926eec82b56fd661bce49662a779,19993128,1717198547,deposit,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,11288.510407,11183.442463,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,124,2024-05-31 23:35:47
0x16c2ecf86905ae1c3b39094d7f253cb930bd7c2f83c9b87391c78aac563bbe56,19996111,1717234547,deposit,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,101.0,100.05405,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,177,2024-06-01 09:35:47
0x8f1e9984fc7d3d6be3b3317214a2d1892f493b6b56eb54ae20d46f2e743d4f6d,19999637,1717277051,deposit,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,4106.55322,4067.808814,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,311,2024-06-01 21:24:11
0x8ddc939ad61fab63ffda8afec85c71ba1ecf5254226ded93f7365a0b2c6b69e4,19986553,1717119143,deposit,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,11166.52245,11064.034118,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,147,2024-05-31 01:32:23
0x3ffa758d608767c89b248019b6d56df816ad0b79b5ae781a480fa5e840c16672,19943869,1716603599,deposit,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,50.0,49.582054,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,194,2024-05-25 02:19:59
0x37923f5796e645fc455fdc706dd61bc10f7c9f61febfa683f1c19c4e8899d738,19955473,1716743663,deposit,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,5783.0,5733.320518,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,267,2024-05-26 17:14:23
